,DebugRVA,DebugSize,Dll,ExportRVA,ExportSize,IATRVA,ImageVersion,LinkerVersion,NumberOfSections,OSVersion,ResSize,StackReserveSize,filename,clean
sample2056,5552,28,33088,0,0,4096,6,9,4,6,525744,262144,samples/cleanfiles/Magnify.exe,1
sample2058,4432,28,320,54288,595,4096,6,9,4,6,1032,262144,samples/cleanfiles/wecapi.dll,1
sample2059,4304,28,320,11328,83,4096,6,9,4,6,1016,262144,samples/cleanfiles/spwinsat.dll,1
sample206,4208,28,320,7312,82,4096,6,9,4,6,98696,262144,samples/cleanfiles/mprmsg.dll,1
sample2060,4272,28,320,9392,66,4096,6,9,4,6,1000,262144,samples/cleanfiles/sas.dll,1
sample2061,4256,28,1344,22944,1263,4096,6,9,4,6,9576,262144,samples/cleanfiles/pcwum.dll,1
sample2062,122372,56,33088,0,0,4096,6,9,4,6,91592,262144,samples/cleanfiles/taskmgr.exe,1
sample2063,5952,28,320,267840,112,4096,6,9,4,6,28584,262144,samples/cleanfiles/sharemediacpl.dll,1
sample2064,4320,28,33088,0,0,4096,6,9,4,6,2008,262144,samples/cleanfiles/Locator.exe,1
sample2065,4672,28,320,37024,170,4096,6,9,4,6,9984,262144,samples/cleanfiles/dpapiprovider.dll,1
sample2066,4464,28,320,75264,1210,4096,6,9,4,6,1200,262144,samples/cleanfiles/cryptsp.dll,1
sample2067,4672,28,320,42688,238,4096,6,9,4,6,1296,262144,samples/cleanfiles/dssec.dll,1
sample2068,0,0,1344,0,0,0,6,9,1,6,513328,262144,samples/cleanfiles/shellstyle.dll,1
sample2069,0,0,1344,0,0,0,6,9,1,6,1808040,262144,samples/cleanfiles/NlsLexicons0046.dll,1
sample207,224584,56,320,78968,61,4096,6,9,4,6,9016,262144,samples/cleanfiles/uDWM.dll,1
sample2070,41804,56,320,5780,105,4096,6,9,4,6,3960,262144,samples/cleanfiles/AltTab.dll,1
sample2071,4528,28,320,1957792,79,4096,6,9,4,6,2576,262144,samples/cleanfiles/NlsData0027.dll,1
sample2072,7232,28,1344,7152,79,0,6,9,3,6,1016,262144,samples/cleanfiles/KBDLV.DLL,1
sample2073,72368,56,320,23544,166,4096,6,9,4,6,1144,262144,samples/cleanfiles/psisrndr.ax,1
sample2074,230104,56,320,5212,239,4096,6,9,5,6,22776,262144,samples/cleanfiles/es.dll,1
sample2075,497172,56,320,147588,419,4096,6,9,4,6,10448,262144,samples/cleanfiles/kerberos.dll,1
sample2076,4320,28,320,38752,80,4096,6,9,4,6,1056,262144,samples/cleanfiles/wwanprotdim.dll,1
sample2077,152192,56,320,37700,158,4096,6,9,4,6,9848,262144,samples/cleanfiles/mssha.dll,1
sample2078,4384,28,33088,0,0,4096,6,9,4,6,2040,262144,samples/cleanfiles/FXSUNATD.exe,1
sample2079,1201872,56,320,29248,263,4096,6,9,4,6,42896,262144,samples/cleanfiles/quartz.dll,1
sample208,64224,56,320,53712,135,4096,6,9,4,6,792120,262144,samples/cleanfiles/OobeFldr.dll,1
sample2080,4208,28,320,7296,165,4096,6,9,4,6,1048,262144,samples/cleanfiles/dpnhpast.dll,1
sample2081,2037316,56,320,2022952,701,4096,21315,9,6,6,317768,262144,samples/cleanfiles/WMVCORE.DLL,1
sample2082,4544,28,320,20832,74,4096,6,9,4,6,1272,262144,samples/cleanfiles/ifmon.dll,1
sample2083,1029420,56,320,14852,28039,4096,6,9,4,6,42168,262144,samples/cleanfiles/mfc42u.dll,1
sample2084,70356,56,320,5660,3071,4096,6,9,4,6,1024,262144,samples/cleanfiles/regapi.dll,1
sample2085,4448,28,320,333936,407,4096,6,9,4,6,1656,262144,samples/cleanfiles/d3dim.dll,1
sample2086,4384,56,320,1832304,203,1958860,10,11,6,6,85224,1048576,samples/cleanfiles/VsGraphicsHelper.dll,1
sample2087,4144,28,1344,5824,88,4096,6,9,4,6,1032,262144,samples/cleanfiles/C_ISCII.DLL,1
sample2088,4320,28,320,15632,162,4096,6,9,5,6,1032,262144,samples/cleanfiles/dxpps.dll,1
sample2089,5056,28,33088,0,0,4096,6,9,4,6,1696,262144,samples/cleanfiles/Robocopy.exe,1
sample209,4240,28,320,8368,100,4096,6,9,4,6,1104,262144,samples/cleanfiles/TimeDateMUICallback.dll,1
sample2090,4768,28,320,99296,165,4096,6,9,5,6,11936,262144,samples/cleanfiles/msaatext.dll,1
sample2091,20576,28,1024,0,0,20480,6,9,6,6,1040,262144,samples/cleanfiles/vga64k.dll,1
sample2092,4816,28,33088,0,0,4096,6,9,4,6,2080,262144,samples/cleanfiles/driverquery.exe,1
sample2093,4384,28,320,113616,357,4096,6,9,4,6,2672328,262144,samples/cleanfiles/chtbrkr.dll,1
sample2094,8032,28,1344,7904,114,0,6,9,3,6,1080,262144,samples/cleanfiles/kbdnec95.dll,1
sample2095,5072,28,33088,0,0,4096,6,9,4,6,56928,262144,samples/cleanfiles/SoundRecorder.exe,1
sample2096,19368,56,320,5676,131,4096,6,9,4,6,992,262144,samples/cleanfiles/winrnr.dll,1
sample2097,6880,28,1344,6800,80,0,6,9,3,6,1040,262144,samples/cleanfiles/KBDLT2.DLL,1
sample2098,66668,56,320,5348,182,4096,6,9,5,6,412008,262144,samples/cleanfiles/netprof.dll,1
sample2099,196752,56,320,189840,188,4096,6,9,4,6,2984,262144,samples/cleanfiles/defragsvc.dll,1
sample21,4272,28,33088,0,0,4096,6,9,4,6,1776,262144,samples/cleanfiles/plasrv.exe,1
sample210,4448,28,320,286384,56,4096,6,9,4,6,1008,262144,samples/cleanfiles/WinSync.dll,1
sample2100,4752,28,320,81104,102,4096,6,9,4,6,125608,262144,samples/cleanfiles/DevicePairingFolder.dll,1
sample2101,5264,28,320,194080,2235,4096,6,9,4,6,91976,262144,samples/cleanfiles/ntprint.dll,1
sample2102,5616,56,1344,4324,156,4096,6,9,3,6,1008,262144,samples/cleanfiles/ksuser.dll,1
sample2103,7296,28,33088,0,0,4096,6,9,4,6,12648,262144,samples/cleanfiles/FXSCOVER.exe,1
sample2104,4304,28,320,20256,116,4096,6,9,4,6,50592,262144,samples/cleanfiles/VaultCredProvider.dll,1
sample2105,4960,28,320,653184,79,4096,6,9,4,6,1320,262144,samples/cleanfiles/PeerDistSh.dll,1
sample2106,4384,28,320,32768,294,4096,6,9,4,6,1320,262144,samples/cleanfiles/gpprnext.dll,1
sample2107,4752,28,320,134320,107,4096,6,9,4,6,4520,262144,samples/cleanfiles/IdListen.dll,1
sample2108,0,0,1344,0,0,0,10,11,1,6,57984,1048576,samples/cleanfiles/mfc110fra.dll,1
sample2109,68812,56,320,64816,112,4096,6,9,4,6,5560,262144,samples/cleanfiles/IPBusEnum.dll,1
sample211,4096,28,1344,4272,483,0,6,9,3,6,1008,262144,samples/cleanfiles/api-ms-win-core-memory-l1-1-0.dll,1
sample2110,45404,56,320,14020,162,4096,6,9,4,6,2800,262144,samples/cleanfiles/ksxbar.ax,1
sample2111,76804,56,320,72440,1041,4096,6,9,4,6,1008,262144,samples/cleanfiles/synceng.dll,1
sample2112,4464,28,33088,0,0,4096,6,9,4,6,2072,262144,samples/cleanfiles/chgusr.exe,1
sample2113,68392,56,320,60888,3132,4096,6,9,4,6,1048,262144,samples/cleanfiles/resutils.dll,1
sample2114,5216,28,320,221552,195,4096,6,9,4,6,1384,262144,samples/cleanfiles/WSManMigrationPlugin.dll,1
sample2115,4608,28,320,0,0,4096,6,9,4,6,229224,262144,samples/cleanfiles/autoconv.exe,1
sample2116,382652,56,320,80080,165,4096,6,9,4,6,66120,262144,samples/cleanfiles/psisdecd.dll,1
sample2117,5056,28,320,48096,45549,4096,6,9,4,6,1040,262144,samples/cleanfiles/migisol.dll,1
sample2118,4880,28,320,133200,186,4096,6,9,4,6,106736,262144,samples/cleanfiles/fdprint.dll,1
sample2119,4352,28,33088,0,0,4096,6,9,4,6,52720,262144,samples/cleanfiles/hdwwiz.exe,1
sample212,4608,28,320,56528,571,4096,6,9,4,6,1336,262144,samples/cleanfiles/unimdmat.dll,1
sample2120,8352,28,1344,8256,81,0,6,9,3,6,1056,262144,samples/cleanfiles/KBDROPR.DLL,1
sample2121,4592,28,33088,0,0,4096,6,9,4,6,2064,262144,samples/cleanfiles/wecutil.exe,1
sample2122,4848,28,320,65600,74,4096,6,9,4,6,1032,262144,samples/cleanfiles/Mcx2Svc.dll,1
sample2123,1050252,56,320,56940,226,4096,6,9,4,6,4800,262144,samples/cleanfiles/RacEngn.dll,1
sample2124,4400,28,33088,0,0,4096,6,9,4,6,28480,262144,samples/cleanfiles/AdapterTroubleshooter.exe,1
sample2125,4144,28,1344,4800,56,4096,6,9,4,6,6456,262144,samples/cleanfiles/DeviceUxRes.dll,1
sample2126,4432,28,33088,0,0,4096,6,9,4,6,2080,262144,samples/cleanfiles/ARP.EXE,1
sample2127,4624,28,33088,0,0,4096,6,9,4,6,6664,262144,samples/cleanfiles/TSWbPrxy.exe,1
sample2128,233164,56,320,10816,1839,4096,6,9,4,6,2832,262144,samples/cleanfiles/schannel.dll,1
sample2129,7040,28,1344,6960,80,0,6,9,3,6,1040,262144,samples/cleanfiles/KBDPL1.DLL,1
sample213,4208,28,320,7632,73,4096,6,9,4,6,1024,262144,samples/cleanfiles/odexl32.dll,1
sample2130,6944,28,1344,6864,80,0,6,9,3,6,1032,262144,samples/cleanfiles/KBDLAO.DLL,1
sample2131,4096,28,1344,4272,432,0,6,9,3,6,1008,262144,samples/cleanfiles/api-ms-win-core-heap-l1-1-0.dll,1
sample2132,271264,28,0,287744,20138,270336,0,5,6,4,43624,1048576,samples/cleanfiles/expsrv.dll,1
sample2133,4368,28,33088,0,0,4096,6,9,4,6,2088,262144,samples/cleanfiles/RmClient.exe,1
sample2134,4464,28,320,54768,199,4096,6,9,4,6,1048,262144,samples/cleanfiles/dpnathlp.dll,1
sample2135,217888,56,320,207740,4849,4096,6,9,4,6,5152,262144,samples/cleanfiles/clusapi.dll,1
sample2136,4336,28,320,9328,87,4096,6,9,4,6,1272,262144,samples/cleanfiles/acproxy.dll,1
sample2137,1319632,28,448,1409632,18886,1318912,500,10,5,4,1064,1048576,samples/cleanfiles/VBoxOGLpackspu.dll,1
sample2138,4464,28,33088,0,0,4096,6,9,4,6,2112,262144,samples/cleanfiles/tskill.exe,1
sample2139,8304,28,1344,10048,116,8192,6,9,5,6,1064,262144,samples/cleanfiles/lpksetupproxyserv.dll,1
sample214,1285488,56,320,309952,12007,4096,6,9,5,6,8856,262144,samples/cleanfiles/ole32.dll,1
sample2141,4320,28,33088,0,0,4096,6,9,4,6,28512,262144,samples/cleanfiles/bthudtask.exe,1
sample2142,4320,28,33088,0,0,4096,6,9,4,6,2056,262144,samples/cleanfiles/pcawrk.exe,1
sample2143,4096,28,1344,4224,108,0,6,9,3,6,1008,262144,samples/cleanfiles/api-ms-win-core-delayload-l1-1-0.dll,1
sample2144,4240,28,320,8432,146,4096,6,9,4,6,1336,262144,samples/cleanfiles/wlanutil.dll,1
sample2145,5312,28,33088,0,0,4096,6,9,4,6,2328,262144,samples/cleanfiles/spinstall.exe,1
sample2146,0,0,1344,0,0,0,6,9,1,6,224224,262144,samples/cleanfiles/odbcint.dll,1
sample2147,4384,28,320,60832,3223,4096,6,9,4,6,1088,262144,samples/cleanfiles/hbaapi.dll,1
sample2148,4704,28,320,194080,191,4096,6,9,4,6,539984,262144,samples/cleanfiles/WlanMM.dll,1
sample2149,4432,28,33088,0,0,4096,6,9,4,6,2088,262144,samples/cleanfiles/gpupdate.exe,1
sample215,6832,28,1344,6752,80,0,6,9,3,6,1032,262144,samples/cleanfiles/KBDLT1.DLL,1
sample2150,53612,56,320,7744,126,4096,6,9,4,6,1040,262144,samples/cleanfiles/bcdprov.dll,1
sample2151,4336,28,320,14064,128,4096,6,9,4,6,1072,262144,samples/cleanfiles/perfts.dll,1
sample2152,42808,56,33216,0,0,4096,6,9,5,6,50672,262144,samples/cleanfiles/consent.exe,1
sample2153,4400,28,320,17296,240,4096,6,9,4,6,2064,262144,samples/cleanfiles/gptext.dll,1
sample2154,7488,28,33088,0,0,4096,6,9,5,6,1181256,262144,samples/cleanfiles/xpsrchvw.exe,1
sample2155,4352,28,320,18400,116,4096,6,9,4,6,1296,262144,samples/cleanfiles/keyiso.dll,1
sample2156,4592,28,33088,0,0,4096,6,9,4,6,5208,262144,samples/cleanfiles/PkgMgr.exe,1
sample2157,287072,56,320,5220,438,4096,6,9,5,6,2185904,262144,samples/cleanfiles/netshell.dll,1
sample2158,4528,28,320,3093696,79,4096,6,9,4,6,1088,262144,samples/cleanfiles/NlsData0020.dll,1
sample2159,65788,56,320,4568,635,4096,6,9,4,6,1312,262144,samples/cleanfiles/ntlanman.dll,1
sample216,4544,28,320,18512,70,4096,1,9,4,6,1272,262144,samples/cleanfiles/ias.dll,1
sample2160,0,0,1344,0,0,0,6,9,1,6,1320,262144,samples/cleanfiles/dmdskres2.dll,1
sample2161,6512,28,1344,6432,80,0,6,9,3,6,1032,262144,samples/cleanfiles/KBDGEO.DLL,1
sample2162,4768,28,33088,0,0,4096,6,9,4,6,25120,262144,samples/cleanfiles/rekeywiz.exe,1
sample2163,78536,56,320,4348,1861,4096,6,9,4,6,1048,262144,samples/cleanfiles/bcrypt.dll,1
sample2164,7152,28,1344,7072,79,0,6,9,3,6,1016,262144,samples/cleanfiles/KBDDA.DLL,1
sample2165,0,0,1344,0,0,0,6,9,1,6,1410176,262144,samples/cleanfiles/NlsLexicons0047.dll,1
sample2166,4096,28,320,46624,1743,94560,6,10,5,6,87000,262144,samples/cleanfiles/vrfcore.dll,1
sample2167,4224,28,320,23424,200,4096,6,9,4,6,984,262144,samples/cleanfiles/Nlsdl.dll,1
sample2168,154192,56,33088,0,0,4096,6,9,4,6,1056,262144,samples/cleanfiles/SearchProtocolHost.exe,1
sample2169,73108,56,320,4436,3210,4096,6,9,4,6,69416,262144,samples/cleanfiles/powrprof.dll,1
sample217,4496,28,33088,0,0,4096,6,9,4,6,1328,262144,samples/cleanfiles/klist.exe,1
sample2170,124416,56,320,4564,420,4096,6,9,4,6,31120,262144,samples/cleanfiles/mlang.dll,1
sample2171,21964,56,320,19384,752,4096,6,9,4,6,1024,262144,samples/cleanfiles/cscdll.dll,1
sample2172,4240,28,320,8224,134,4096,6,9,4,6,1040,262144,samples/cleanfiles/iprtprio.dll,1
sample2173,4480,28,33088,13680,1580,4096,6,9,4,6,90984,262144,samples/cleanfiles/fveprompt.exe,1
sample2174,4656,28,33088,0,0,4096,6,9,4,6,56088,262144,samples/cleanfiles/isoburn.exe,1
sample2175,4128,28,320,414672,179,430568,6,10,5,6,992,262144,samples/cleanfiles/d3d10sdklayers.dll,1
sample2176,4160,28,33088,0,0,65536,6,11,5,6,2040,262144,samples/cleanfiles/RegisterIEPKEYs.exe,1
sample2177,4416,28,320,29040,92,4096,6,9,4,6,1392,262144,samples/cleanfiles/TsUsbGDCoInstaller.dll,1
sample2178,107832,56,320,4788,33461,4096,6,9,5,6,1016,262144,samples/cleanfiles/msdart.dll,1
sample2179,4352,28,320,9152,1274,4096,6,9,4,6,1048,262144,samples/cleanfiles/mscat32.dll,1
sample218,4208,56,33088,0,0,193356,10,11,5,6,42240,1048576,samples/cleanfiles/vsjitdebugger.exe,1
sample2180,4480,28,33088,0,0,4096,6,9,4,6,2056,262144,samples/cleanfiles/unlodctr.exe,1
sample2181,2095248,56,16704,15620,4297,2121728,6,11,8,6,1352,262144,samples/cleanfiles/iertutil.dll,1
sample2182,5408,28,320,172592,199,4096,1,9,5,6,7600,262144,samples/cleanfiles/iassam.dll,1
sample2183,4336,28,320,10512,113,4096,6,9,4,6,91872,262144,samples/cleanfiles/batt.dll,1
sample2184,4320,28,320,17376,74,4096,6,9,4,6,1336,262144,samples/cleanfiles/imaadp32.acm,1
sample2185,127528,56,320,5076,157,4096,6,9,5,6,167888,262144,samples/cleanfiles/srchadmin.dll,1
sample2186,519024,56,33088,0,0,4096,21315,9,4,6,2240,262144,samples/cleanfiles/RMActivate.exe,1
sample2187,308964,56,320,9404,3380,4096,6,9,4,6,1288,262144,samples/cleanfiles/rasapi32.dll,1
sample2188,4656,28,320,28352,167,4096,6,9,4,6,118576,262144,samples/cleanfiles/remotepg.dll,1
sample2189,4352,28,320,33648,184,4096,6,9,5,6,1064,262144,samples/cleanfiles/wups2.dll,1
sample219,4464,28,33088,0,0,4096,6,9,4,6,2048,262144,samples/cleanfiles/tscon.exe,1
sample2190,4128,28,33088,0,0,16384,6,11,5,6,2056,262144,samples/cleanfiles/msfeedssync.exe,1
sample2191,4011052,56,16704,38772,2831,4087808,6,11,8,6,70192,262144,samples/cleanfiles/jscript9.dll,1
sample2192,4656,28,33088,0,0,4096,6,9,4,6,2120,262144,samples/cleanfiles/diskpart.exe,1
sample2193,7488,28,1344,7376,112,0,6,9,3,6,1032,262144,samples/cleanfiles/kbdax2.dll,1
sample2194,199316,56,320,8176,164,4096,6,9,4,6,1280,262144,samples/cleanfiles/offfilt.dll,1
sample2195,30476,56,320,4496,76,4096,6,9,4,6,1016,262144,samples/cleanfiles/profapi.dll,1
sample2196,5200,28,320,75792,108,4096,6,9,4,6,329272,262144,samples/cleanfiles/systemcpl.dll,1
sample2197,0,0,1344,0,0,0,6,9,1,6,36336,262144,samples/cleanfiles/cliconfg.rll,1
sample2198,294772,56,320,29816,167,4096,6,9,6,6,1376,262144,samples/cleanfiles/wmpeffects.dll,1
sample2199,446208,56,320,92760,75,4096,6,9,4,6,237632,262144,samples/cleanfiles/schedsvc.dll,1
sample22,7968,28,1344,7888,80,0,6,9,3,6,1040,262144,samples/cleanfiles/KBDNO1.DLL,1
sample220,7712,28,1344,7632,79,0,6,9,3,6,1032,262144,samples/cleanfiles/KBDSG.DLL,1
sample2200,4608,28,320,0,0,4096,6,9,4,6,229168,262144,samples/cleanfiles/autochk.exe,1
sample2201,4496,28,33088,0,0,4096,6,9,4,6,2376,262144,samples/cleanfiles/sdbinst.exe,1
sample2202,4416,28,320,31008,164,4096,6,9,4,6,4088,262144,samples/cleanfiles/bidispl.dll,1
sample2203,45056,28,0,57344,717,0,2,2,8,1,2400,1048576,samples/cleanfiles/ctl3d32.dll,1
sample2204,4512,28,33088,0,0,4096,6,9,4,6,2344,262144,samples/cleanfiles/extrac32.exe,1
sample2205,49116,56,320,5764,91,4096,6,9,4,6,1304,262144,samples/cleanfiles/NapiNSP.dll,1
sample2206,4272,28,1344,13408,221,4096,6,9,4,6,2664,262144,samples/cleanfiles/apilogen.dll,1
sample2207,7120,28,1344,7024,82,0,6,9,3,6,1032,262144,samples/cleanfiles/KBDINBEN.DLL,1
sample2208,165956,56,320,158040,426,4096,6,9,4,6,1288,262144,samples/cleanfiles/rasmontr.dll,1
sample2209,73208,56,320,17472,165,4096,6,9,4,6,139296,262144,samples/cleanfiles/mycomput.dll,1
sample221,4768,28,320,51472,167,4096,6,9,4,6,2848,262144,samples/cleanfiles/Groupinghc.dll,1
sample2210,4656,28,320,187424,161,4096,6,9,4,6,1304,262144,samples/cleanfiles/qasf.dll,1
sample2211,5584,28,320,241920,163,4096,6,9,4,6,133240,262144,samples/cleanfiles/sysmon.ocx,1
sample2212,4368,28,33088,0,0,4096,6,9,4,6,2080,262144,samples/cleanfiles/finger.exe,1
sample2213,21692,56,320,5156,520,4096,6,9,4,6,1008,262144,samples/cleanfiles/dsrole.dll,1
sample2214,4096,28,1344,4336,1397,0,6,9,2,6,1008,262144,samples/cleanfiles/api-ms-win-core-localization-l1-1-0.dll,1
sample2215,4304,28,320,9952,165,4096,6,9,5,6,1064,262144,samples/cleanfiles/bitsprx2.dll,1
sample2216,34928,56,33088,0,0,4096,6,9,4,6,1736,262144,samples/cleanfiles/xcopy.exe,1
sample2217,40380,56,320,36720,941,4096,6,9,4,6,1056,262144,samples/cleanfiles/dfscli.dll,1
sample2218,389148,56,320,8640,172050,4096,6,9,4,6,1040,262144,samples/cleanfiles/msvcp60.dll,1
sample2219,63404,56,320,18152,160,4096,6,9,4,6,1048,262144,samples/cleanfiles/cca.dll,1
sample222,4656,28,320,97616,165,4096,6,9,4,6,6760,262144,samples/cleanfiles/wiavideo.dll,1
sample2220,165236,56,320,5236,4603,4096,6,9,4,6,2016,262144,samples/cleanfiles/wintrust.dll,1
sample2221,7376,28,1344,7296,80,0,6,9,3,6,1016,262144,samples/cleanfiles/KBDWOL.DLL,1
sample2222,26836,56,320,24984,154,4096,6,9,4,6,2272,262144,samples/cleanfiles/perfproc.dll,1
sample2223,7696,28,1344,7488,198,0,6,9,3,6,1104,262144,samples/cleanfiles/f3ahvoas.dll,1
sample2224,142204,56,320,8064,8855,4096,6,9,4,6,1032,262144,samples/cleanfiles/cfgmgr32.dll,1
sample2225,6912,28,1344,6832,80,0,6,9,3,6,1016,262144,samples/cleanfiles/KBDHEB.DLL,1
sample2226,4416,28,320,37920,374,4096,6,9,4,6,1848,262144,samples/cleanfiles/pwrshplugin.dll,1
sample2227,4368,28,320,15952,202,4096,6,8,4,6,1048,262144,samples/cleanfiles/brcoinst.dll,1
sample2228,128376,56,320,123392,968,4096,6,9,4,6,66920,262144,samples/cleanfiles/input.dll,1
sample2229,6896,28,1344,6800,82,0,6,9,3,6,1032,262144,samples/cleanfiles/KBDINGUJ.DLL,1
sample223,4288,28,320,10464,194,4096,6,9,5,6,1072,262144,samples/cleanfiles/defragproxy.dll,1
sample2230,152244,56,320,5604,361,4096,6,9,4,6,12840,262144,samples/cleanfiles/scrobj.dll,1
sample2231,16164,56,320,5116,123,4096,6,9,4,6,6040,262144,samples/cleanfiles/shgina.dll,1
sample2232,74524,56,320,4684,142,4096,6,9,4,6,142280,262144,samples/cleanfiles/SndVolSSO.dll,1
sample2233,4688,28,320,37632,169,4096,6,9,4,6,9968,262144,samples/cleanfiles/capiprovider.dll,1
sample2234,364544,28,1024,403056,54,0,0,9,8,0,21628,1048576,samples/cleanfiles/winresume.exe,1
sample2235,432024,56,16704,19752,165,450560,6,11,6,6,34928,262144,samples/cleanfiles/vbscript.dll,1
sample2236,414704,56,320,408148,189,4096,21315,9,5,6,1080,262144,samples/cleanfiles/WMVSDECD.DLL,1
sample2237,35572,56,320,20264,84,4096,6,9,4,6,1328,262144,samples/cleanfiles/themeservice.dll,1
sample2238,4576,28,320,53568,133,4096,6,9,4,6,1048,262144,samples/cleanfiles/cliconfg.dll,1
sample2239,0,0,1344,0,0,0,6,9,1,6,924248,262144,samples/cleanfiles/FXSRESM.dll,1
sample224,4496,28,320,47776,165,4096,6,9,4,6,15936,262144,samples/cleanfiles/eqossnap.dll,1
sample2240,21084,56,320,20920,163,28672,6,11,5,6,1336,262144,samples/cleanfiles/licmgr10.dll,1
sample2241,4256,28,33088,0,0,4096,6,9,4,6,2408,262144,samples/cleanfiles/dinotify.exe,1
sample2242,4656,28,320,145344,164,4096,6,9,4,6,1024,262144,samples/cleanfiles/hgprint.dll,1
sample2243,58464,56,320,12580,2458,4096,6,9,4,6,1000,262144,samples/cleanfiles/samlib.dll,1
sample2245,21872,56,33088,0,0,4096,6,9,4,6,2136,262144,samples/cleanfiles/mfpmp.exe,1
sample2246,456448,56,33088,0,0,4096,21315,9,4,6,2320,262144,samples/cleanfiles/RMActivate_ssp_isv.exe,1
sample2247,203588,56,320,201600,189,4096,6,9,4,6,1792,262144,samples/cleanfiles/RESAMPLEDMO.DLL,1
sample2248,516288,56,320,503864,1561,4096,6,9,4,6,34896,262144,samples/cleanfiles/qmgr.dll,1
sample2249,0,0,1344,0,0,0,10,11,1,6,54176,1048576,samples/cleanfiles/mfc110rus.dll,1
sample225,1002532,56,32832,53240,78,4096,6,9,4,6,280008,262144,samples/cleanfiles/mmc.exe,1
sample2250,4336,28,320,16800,107,4096,6,9,4,6,976,262144,samples/cleanfiles/msswch.dll,1
sample2251,4528,28,320,1957792,79,4096,6,9,4,6,1088,262144,samples/cleanfiles/NlsData000f.dll,1
sample2252,4320,28,320,13488,81,4096,6,9,4,6,1016,262144,samples/cleanfiles/slwga.dll,1
sample2253,21104,28,320,67232,191,20480,10,11,5,6,1008,1048576,samples/cleanfiles/mfcm110.dll,1
sample2254,10696,56,320,4772,161,4096,6,9,4,6,1008,262144,samples/cleanfiles/pnpts.dll,1
sample2255,8240,28,1344,8144,82,0,6,9,3,6,1056,262144,samples/cleanfiles/KBDSMSNO.DLL,1
sample2256,4608,28,33088,0,0,4096,6,9,4,6,2160,262144,samples/cleanfiles/WPDShextAutoplay.exe,1
sample2257,4400,28,320,40592,165,4096,6,9,4,6,1288,262144,samples/cleanfiles/mimefilt.dll,1
sample2258,0,0,1344,0,0,0,6,9,1,6,9892144,262144,samples/cleanfiles/NlsLexicons000a.dll,1
sample2259,5072,28,33088,0,0,4096,6,9,4,6,67376,262144,samples/cleanfiles/recdisc.exe,1
sample226,6720,28,1344,6624,81,0,6,9,3,6,1032,262144,samples/cleanfiles/KBDAZEL.DLL,1
sample2260,4784,28,33088,0,0,4096,6,9,4,6,96368,262144,samples/cleanfiles/msdtc.exe,1
sample2261,4512,28,320,31968,1054,4096,6,9,4,6,6072,262144,samples/cleanfiles/csrsrv.dll,1
sample2262,0,0,1344,0,0,0,6,9,1,6,24864,262144,samples/cleanfiles/oleres.dll,1
sample2263,4592,28,320,139488,164,4096,6,9,4,6,5384,262144,samples/cleanfiles/VBICodec.ax,1
sample2264,4352,28,33088,0,0,4096,6,9,4,6,1896,262144,samples/cleanfiles/ddodiag.exe,1
sample2265,85920,56,320,5668,3222,4096,6,9,4,6,1040,262144,samples/cleanfiles/ntdsapi.dll,1
sample2266,4560,28,33088,0,0,4096,6,9,4,6,2056,262144,samples/cleanfiles/where.exe,1
sample2267,4096,28,1344,4256,345,0,6,9,2,6,1000,262144,samples/cleanfiles/api-ms-win-service-management-l2-1-0.dll,1
sample2268,110260,56,320,9688,728,4096,6,9,4,6,22464,262144,samples/cleanfiles/basecsp.dll,1
sample2269,4480,28,320,46144,109,4096,6,9,4,6,1064,262144,samples/cleanfiles/gacinstall.dll,1
sample227,4128,28,320,53792,108,61440,6,11,5,6,1032,262144,samples/cleanfiles/pngfilt.dll,1
sample2270,68620,56,320,5376,1228,4096,6,9,4,6,2272,262144,samples/cleanfiles/msacm32.dll,1
sample2271,7616,28,1344,7520,82,0,6,9,3,6,1048,262144,samples/cleanfiles/KBDSOREX.DLL,1
sample2272,4352,28,320,17472,440,4096,6,9,4,6,1016,262144,samples/cleanfiles/virtdisk.dll,1
sample2273,738884,56,320,7340,10091,4096,6,9,4,6,385832,262144,samples/cleanfiles/crypt32.dll,1
sample2274,4832,28,320,49792,467,4096,6,9,4,6,142800,262144,samples/cleanfiles/sysclass.dll,1
sample2276,241032,56,320,17276,1542,4096,6,9,4,6,5008,262144,samples/cleanfiles/wevtapi.dll,1
sample2277,4496,28,33088,0,0,4096,6,9,4,6,2080,262144,samples/cleanfiles/timeout.exe,1
sample2278,4640,28,320,49488,170,4096,6,9,4,6,4456,262144,samples/cleanfiles/HelpPaneProxy.dll,1
sample2279,6752,28,1344,6672,80,0,6,9,3,6,1016,262144,samples/cleanfiles/KBDKYR.DLL,1
sample228,4096,28,1344,0,0,0,10,12,2,6,1024,1048576,samples/cleanfiles/msvcr100_clr0400.dll,1
sample2280,4384,28,320,19344,165,4096,6,9,4,6,47112,262144,samples/cleanfiles/napdsnap.dll,1
sample2281,4560,28,33088,0,0,4096,6,9,4,6,2128,262144,samples/cleanfiles/forfiles.exe,1
sample2282,139864,56,448,16972,699,4096,6,9,4,6,1368,262144,samples/cleanfiles/dssenh.dll,1
sample2283,4368,28,320,15008,83,4096,6,9,4,6,1336,262144,samples/cleanfiles/DDACLSys.dll,1
sample2284,7328,28,1344,7232,82,0,6,9,3,6,1048,262144,samples/cleanfiles/KBDSORS1.DLL,1
