,DebugRVA,DebugSize,Dll,ExportRVA,ExportSize,IATRVA,ImageVersion,LinkerVersion,NumberOfSections,OSVersion,ResSize,StackReserveSize,filename,clean
sample1064,0,0,1344,0,0,0,10,11,1,6,36768,1048576,samples/cleanfiles/mfc110kor.dll,1
sample1065,0,0,1344,0,0,0,6,9,1,6,3330360,262144,samples/cleanfiles/NlsLexicons0018.dll,1
sample1066,4800,28,320,31216,103,4096,6,9,4,6,1040,262144,samples/cleanfiles/cnvfat.dll,1
sample1067,0,0,1344,0,0,0,6,9,1,6,668512,262144,samples/cleanfiles/WFSR.dll,1
sample1068,4976,28,320,119680,77,4096,6,9,4,6,1304,262144,samples/cleanfiles/p2pnetsh.dll,1
sample1069,221976,56,320,5188,391,4096,6,9,5,6,176768,262144,samples/cleanfiles/cscui.dll,1
sample1070,4096,28,1344,4288,701,0,6,9,3,6,1008,262144,samples/cleanfiles/api-ms-win-core-libraryloader-l1-1-0.dll,1
sample1071,1271644,56,320,5844,39907,4096,6,9,5,6,1304,262144,samples/cleanfiles/Query.dll,1
sample1072,421004,56,320,81496,147,4096,6,9,4,6,42640,262144,samples/cleanfiles/iphlpsvc.dll,1
sample1073,4480,28,320,1197104,190,4096,6,9,6,6,1088,262144,samples/cleanfiles/WMSPDMOE.DLL,1
sample1074,4288,28,320,26784,190,4096,6,9,5,6,1352,262144,samples/cleanfiles/sxproxy.dll,1
sample1075,37840,56,320,94400,241,36864,10,11,5,6,1016,1048576,samples/cleanfiles/mfcm110ud.dll,1
sample1076,4416,28,320,14992,77,4096,6,9,4,6,1336,262144,samples/cleanfiles/wshelper.dll,1
sample1077,21592,56,320,19296,1129,4096,6,9,4,6,1008,262144,samples/cleanfiles/snmpapi.dll,1
sample1078,57680,56,320,23372,111,4096,6,9,4,6,2032,262144,samples/cleanfiles/aelupsvc.dll,1
sample1079,0,0,1344,0,0,0,6,9,1,6,107528,262144,samples/cleanfiles/tapiui.dll,1
sample108,4512,28,320,43328,106,4096,6,9,4,6,992,262144,samples/cleanfiles/IDStore.dll,1
sample1080,4096,28,1344,4256,185,0,6,9,3,6,1008,262144,samples/cleanfiles/api-ms-win-core-rtlsupport-l1-1-0.dll,1
sample1081,27476,56,320,7528,161,4096,6,9,4,6,1016,262144,samples/cleanfiles/pcadm.dll,1
sample1082,4272,28,320,24352,115,4096,6,9,4,6,6250400,262144,samples/cleanfiles/DDORes.dll,1
sample1083,187484,56,320,11088,164,4096,6,9,4,6,2056,262144,samples/cleanfiles/mssphtb.dll,1
sample1084,7008,28,1344,6912,82,0,6,9,3,6,1032,262144,samples/cleanfiles/KBDINDEV.DLL,1
sample1085,4416,28,320,18816,110,4096,6,9,4,6,2152,262144,samples/cleanfiles/icmui.dll,1
sample1086,6712,56,1344,4096,2614,0,6,9,2,6,1000,262144,samples/cleanfiles/wmi.dll,1
sample1087,193484,56,320,6692,32808,4096,6,9,4,6,1040,262144,samples/cleanfiles/framedynos.dll,1
sample1088,4400,28,320,20608,2047,4096,6,9,4,6,1000,262144,samples/cleanfiles/ureg.dll,1
sample1089,4528,28,320,1957776,79,4096,6,9,4,6,1088,262144,samples/cleanfiles/NlsData0018.dll,1
sample109,4656,28,33088,0,0,4096,6,9,4,6,1696,524288,samples/cleanfiles/net.exe,1
sample1090,5024,28,320,404592,168,4096,6,9,4,6,1048,262144,samples/cleanfiles/wlanmsm.dll,1
sample1091,5424,28,320,258912,171,4096,6,9,5,6,686088,262144,samples/cleanfiles/wcnwiz.dll,1
sample1092,255072,56,320,5920,1839,4096,6,9,4,6,1752,262144,samples/cleanfiles/polstore.dll,1
sample1093,5200,28,16704,300864,456,327680,6,11,6,6,1264,262144,samples/cleanfiles/iedkcs32.dll,1
sample1094,72124,56,448,4800,1852,4096,6,9,5,6,5592,262144,samples/cleanfiles/userenv.dll,1
sample1095,4832,28,320,161104,164,4096,6,9,4,6,3152,262144,samples/cleanfiles/L2SecHC.dll,1
sample1096,100752,56,320,93880,1916,4096,21315,9,4,6,1312,262144,samples/cleanfiles/sppc.dll,1
sample1097,4688,28,33088,23520,1580,4096,6,9,4,6,91024,262144,samples/cleanfiles/fvenotify.exe,1
sample1098,161092,56,320,158880,189,4096,6,9,4,6,1096,262144,samples/cleanfiles/MPG4DECD.DLL,1
sample1099,21812,56,320,10452,120,4096,6,9,4,6,1072,262144,samples/cleanfiles/pstorsvc.dll,1
sample11,4912,28,320,155840,110,4096,6,9,4,6,21408,262144,samples/cleanfiles/wwansvc.dll,1
sample110,244684,56,320,8392,223,4096,6,9,5,6,4984,262144,samples/cleanfiles/upnphost.dll,1
sample1100,4384,28,320,22720,701,4096,6,9,4,6,992,262144,samples/cleanfiles/bthpanapi.dll,1
sample1101,308200,56,320,16132,1240,4096,6,9,4,6,1016,262144,samples/cleanfiles/drvstore.dll,1
sample1102,7488,28,1344,7408,80,0,6,9,3,6,1016,262144,samples/cleanfiles/KBDYBA.DLL,1
sample1103,4272,28,320,11312,91,4096,6,9,4,6,1016,262144,samples/cleanfiles/winshfhc.dll,1
sample1104,4384,28,33088,0,0,4096,6,9,4,6,1816,262144,samples/cleanfiles/Eap3Host.exe,1
sample1105,4368,28,33088,0,0,4096,6,9,4,6,49136,262144,samples/cleanfiles/RunLegacyCPLElevated.exe,1
sample1106,4752,28,320,247568,147,4096,0,8,6,4,912,1048576,samples/cleanfiles/msexch40.dll,1
sample1107,6768,28,1344,6672,81,0,6,9,3,6,1032,262144,samples/cleanfiles/KBDBASH.DLL,1
sample1108,4480,28,33088,0,0,4096,6,9,4,6,92168,262144,samples/cleanfiles/CompMgmtLauncher.exe,1
sample1109,516592,56,320,502580,164,4096,6,9,4,6,1008,262144,samples/cleanfiles/elslad.dll,1
sample111,0,0,0,667648,244,663784,0,4,8,4,1144,1048576,samples/cleanfiles/ir41_qc.dll,1
sample1110,12868,56,320,11128,239,4096,6,9,4,6,960,262144,samples/cleanfiles/tbs.dll,1
sample1111,631328,28,448,702208,24280,630784,500,10,5,4,1072,1048576,samples/cleanfiles/VBoxOGLfeedbackspu.dll,1
sample1112,4288,28,320,19248,312,4096,6,9,4,6,992,262144,samples/cleanfiles/msisip.dll,1
sample1113,4752,28,320,847296,367,4096,6,9,4,6,1032,262144,samples/cleanfiles/xpssvcs.dll,1
sample1114,4448,28,33088,0,0,4096,6,9,4,6,1992,262144,samples/cleanfiles/sort.exe,1
sample1115,7568,28,1344,7456,112,0,6,9,3,6,1032,262144,samples/cleanfiles/kbd106.dll,1
sample1116,4208,28,320,7296,165,4096,6,9,4,6,1048,262144,samples/cleanfiles/dpnhupnp.dll,1
sample1117,32320,56,320,6088,332,36864,6,11,5,6,1048,262144,samples/cleanfiles/imgutil.dll,1
sample1118,6160,28,320,350624,302,4096,6,9,5,6,209288,262144,samples/cleanfiles/TSWorkspace.dll,1
sample1119,4688,28,320,102816,86,4096,6,9,4,6,234768,262144,samples/cleanfiles/sppcommdlg.dll,1
sample112,398328,56,320,100040,163,4096,6,9,4,6,1096,262144,samples/cleanfiles/mspbda.dll,1
sample1120,4592,28,320,59712,103,4096,6,9,4,6,2464,262144,samples/cleanfiles/WfHC.dll,1
sample1121,1516244,56,320,734948,79,4096,6,9,4,6,1088,262144,samples/cleanfiles/NlsData0000.dll,1
sample1122,214344,56,320,205892,241,4096,6,9,4,6,9080,262144,samples/cleanfiles/msdtcuiu.dll,1
sample1123,207616,56,320,7604,5264,4096,6,9,4,6,1312,262144,samples/cleanfiles/ncrypt.dll,1
sample1124,4368,28,320,16608,434,4096,6,9,4,6,1040,262144,samples/cleanfiles/sxshared.dll,1
sample1126,58804,56,320,4712,1751,4096,6,9,4,6,8888,262144,samples/cleanfiles/atl.dll,1
sample1127,57000,56,320,17316,164,4096,6,9,4,6,27128,262144,samples/cleanfiles/kstvtune.ax,1
sample1128,4928,28,33088,0,0,4096,6,9,4,6,3040,262144,samples/cleanfiles/unregmp2.exe,1
sample1129,4960,28,320,231312,766,4096,6,9,4,6,6848,262144,samples/cleanfiles/ReAgent.dll,1
sample113,4272,28,320,17168,85,4096,6,9,4,6,1312,262144,samples/cleanfiles/montr_ci.dll,1
sample1130,5008,56,320,634448,121687,787352,10,11,5,6,1008,1048576,samples/cleanfiles/msvcp110d.dll,1
sample1131,4720,28,320,80912,209,4096,6,9,4,6,1312,262144,samples/cleanfiles/icfupgd.dll,1
sample1132,4400,28,320,13200,120,4096,6,9,4,6,2592,262144,samples/cleanfiles/irclass.dll,1
sample1133,4144,28,320,7952,75,4096,0,8,5,4,2076,1048576,samples/cleanfiles/msjint40.dll,1
sample1134,4128,28,1344,4608,165,4096,6,9,4,6,1024,262144,samples/cleanfiles/dxmasf.dll,1
sample1135,167364,56,320,163664,642,4096,6,9,4,6,1280,262144,samples/cleanfiles/eappcfg.dll,1
sample1136,7088,28,1344,7008,79,0,6,9,3,6,1008,262144,samples/cleanfiles/KBDHE.DLL,1
sample1137,4128,28,320,60816,563,65536,6,11,5,6,56528,262144,samples/cleanfiles/occache.dll,1
sample1138,240208,56,320,59408,115,4096,0,8,4,4,904,1048576,samples/cleanfiles/mstext40.dll,1
sample1139,1739592,56,320,106496,443,4096,6,9,4,6,1008,262144,samples/cleanfiles/d3d9.dll,1
sample114,4480,28,320,19760,149,4096,6,9,4,6,1304,262144,samples/cleanfiles/capisp.dll,1
sample1140,6704,28,1344,6624,79,0,6,9,3,6,1016,262144,samples/cleanfiles/KBDRU.DLL,1
sample1141,4272,28,33088,0,0,4096,6,9,4,6,79424,262144,samples/cleanfiles/colorcpl.exe,1
sample1142,4592,28,33088,0,0,4096,6,9,4,6,6216,262144,samples/cleanfiles/cttunesvr.exe,1
sample1143,174232,56,320,32804,147,4096,6,9,4,6,1296,262144,samples/cleanfiles/WebClnt.dll,1
sample1144,4688,28,320,120688,561,4096,6,9,4,6,37360,262144,samples/cleanfiles/WUDFPlatform.dll,1
sample1145,30148,56,320,26684,189,4096,6,9,5,6,1032,262144,samples/cleanfiles/wmdmps.dll,1
sample1146,4272,28,33088,0,0,4096,6,9,4,6,3328,262144,samples/cleanfiles/dvdplay.exe,1
sample1147,0,0,0,613344,259,569344,0,5,6,4,67716,1048576,samples/cleanfiles/ir50_32.dll,1
sample1148,4976,28,320,257456,126917,4096,10,10,4,5,976,1048576,samples/cleanfiles/msvcp100.dll,1
sample1149,15784,56,320,7220,596,4096,6,9,4,6,1048,262144,samples/cleanfiles/winnsi.dll,1
sample115,4496,28,320,35824,168,4096,6,9,4,6,1032,262144,samples/cleanfiles/inetmib1.dll,1
sample1150,517000,56,320,159948,5056,4096,6,9,5,6,2056,262144,samples/cleanfiles/odbc32.dll,1
sample1151,7360,28,1344,7248,112,0,6,9,3,6,1032,262144,samples/cleanfiles/kbd101.dll,1
sample1153,4256,28,33088,0,0,4096,6,9,4,6,75544,262144,samples/cleanfiles/SystemPropertiesRemote.exe,1
sample1154,5232,28,320,139248,106,4096,6,9,4,6,149904,262144,samples/cleanfiles/msieftp.dll,1
sample1155,4512,28,33088,0,0,4096,6,9,4,6,2024,262144,samples/cleanfiles/chkdsk.exe,1
sample1156,5248,28,320,92864,172,4096,6,9,4,6,438152,262144,samples/cleanfiles/ActionCenterCPL.dll,1
sample1157,5792,28,320,775664,84,4096,6,9,4,6,1000,262144,samples/cleanfiles/rdpcore.dll,1
sample1158,90848,56,33088,11596,56,4096,6,9,4,6,32216,1048576,samples/cleanfiles/cscript.exe,1
sample1159,0,0,1344,0,0,0,6,9,1,6,18248,262144,samples/cleanfiles/netevent.dll,1
sample116,4288,28,320,8976,165,4096,6,9,5,6,1072,262144,samples/cleanfiles/bitsprx4.dll,1
sample1160,4480,28,320,37200,72,4096,6,9,4,6,1304,262144,samples/cleanfiles/mcicda.dll,1
sample1161,0,0,1344,0,0,0,6,9,1,6,2209952,262144,samples/cleanfiles/bootres.dll,1
sample1162,97656,56,320,93704,224,4096,6,9,4,6,2840,262144,samples/cleanfiles/fdWSD.dll,1
sample1163,111588,56,320,6528,176,4096,6,9,5,6,1096,262144,samples/cleanfiles/AuxiliaryDisplayApi.dll,1
sample1164,411280,56,16704,4096,4331,425984,6,11,6,6,34544,262144,samples/cleanfiles/ieui.dll,1
sample1165,70276,56,320,65812,73,4096,6,9,4,6,1296,262144,samples/cleanfiles/mprdim.dll,1
sample1166,4096,28,1344,4192,8504,0,6,10,2,6,1016,262144,samples/cleanfiles/api-ms-win-downlevel-advapi32-l1-1-0.dll,1
sample1167,6784,28,1344,6688,82,0,6,9,3,6,1032,262144,samples/cleanfiles/KBDTAJIK.DLL,1
sample1168,802336,56,320,6240,48276,827392,10,11,5,6,1008,1048576,samples/cleanfiles/msvcr110.dll,1
sample1169,4704,28,320,70480,195,4096,6,9,4,6,5688,262144,samples/cleanfiles/rascfg.dll,1
sample117,4448,28,320,25248,160,4096,6,9,4,6,1848,262144,samples/cleanfiles/BthMtpContextHandler.dll,1
sample1170,4496,28,320,30144,169,4096,6,9,4,6,1032,262144,samples/cleanfiles/wdiasqmmodule.dll,1
sample1171,4576,28,320,42352,105,4096,6,9,4,6,135376,262144,samples/cleanfiles/wpcumi.dll,1
sample1172,4400,28,320,28800,713,4096,6,9,4,6,1032,262144,samples/cleanfiles/dsauth.dll,1
sample1173,4528,28,33088,0,0,4096,6,9,4,6,4744,262144,samples/cleanfiles/tzutil.exe,1
sample1174,4608,28,320,89488,166,4096,6,9,4,6,1464,262144,samples/cleanfiles/ndfhcdiscovery.dll,1
sample1175,156416,56,320,4644,1589,4096,6,9,4,6,1008,262144,samples/cleanfiles/netjoin.dll,1
sample1176,4944,28,320,368128,2826,4096,6,9,4,6,2040,262144,samples/cleanfiles/msdrm.dll,1
sample1177,4208,28,320,7104,107,4096,6,9,4,6,26800,262144,samples/cleanfiles/sdhcinst.dll,1
sample1178,5920,28,33088,0,0,4096,6,9,4,6,484416,4194304,samples/cleanfiles/psr.exe,1
sample1179,96048,56,320,5160,1773,4096,6,9,4,6,1008,262144,samples/cleanfiles/authz.dll,1
sample118,458256,56,33088,0,0,4096,21315,9,4,6,2240,262144,samples/cleanfiles/RMActivate_ssp.exe,1
sample1180,4512,28,320,441936,166,4096,6,9,6,6,1112,262144,samples/cleanfiles/MFWMAAEC.DLL,1
sample1181,4960,28,320,77280,164,4096,6,9,4,6,2832,262144,samples/cleanfiles/winethc.dll,1
sample1182,4320,28,320,209920,663,4096,6,9,4,6,2616,262144,samples/cleanfiles/icm32.dll,1
sample1183,4448,28,320,33344,157,4096,6,9,4,6,71488,262144,samples/cleanfiles/EhStorPwdMgr.dll,1
sample1184,41436,56,320,38328,114,4096,6,9,4,6,1072,262144,samples/cleanfiles/FwRemoteSvr.dll,1
sample1185,0,0,1344,0,0,0,6,11,1,6,47688,262144,samples/cleanfiles/mshtmler.dll,1
sample1186,5136,28,33088,0,0,4096,6,9,4,6,781632,262144,samples/cleanfiles/dccw.exe,1
sample1187,151080,56,320,140708,4362,4096,6,9,4,6,1056,262144,samples/cleanfiles/mprapi.dll,1
