,Unnamed: 0,DebugRVA,DebugSize,Dll,ExportRVA,ExportSize,IATRVA,ImageVersion,LinkerVersion,NumberOfSections,OSVersion,ResSize,StackReserveSize,filename,clean
355,sample9,0,0,0,0,0,0,5,7,3,4,0,1048576,samples/zippedMalware/fcf5e92353cda664fb91b0bbe6dd239e,0
356,sample90,0,0,0,0,0,16384,5,7,4,4,0,1048576,samples/zippedMalware/2fdb28e8dec3396f986d8027bcd62e13,0
357,sample91,0,0,0,0,0,0,0,6,3,4,0,1048576,samples/zippedMalware/db53f71e8b9fcf8ee3c0bb1799769691,0
358,sample92,0,0,0,0,0,20480,0,6,4,4,0,1048576,samples/zippedMalware/31858451ff79576d545e95901b36cf66,0
359,sample93,0,0,0,0,0,0,5,7,3,4,0,1048576,samples/zippedMalware/2468e6afd5a35c89be696eb01eed1fc3,0
360,sample94,0,0,0,0,0,0,4,7,3,4,0,1048576,samples/zippedMalware/23fc931b68914ace643c22da259990f0,0
361,sample95,0,0,0,0,0,0,5,7,3,4,0,1048576,samples/zippedMalware/985e7763b3e7e1543fc5b9c9b47ddd9e,0
362,sample96,0,0,0,0,0,12288,0,6,3,4,0,1048576,samples/zippedMalware/50642871d625edf9306973ce9d9bb27e,0
363,sample97,0,0,0,0,0,88872,0,2,4,4,0,1048576,samples/zippedMalware/fab792fa-dd4f-11e6-9187-80e65024849a.file,0
364,sample98,333552,28,0,0,0,331776,0,7,4,4,627336,1048576,samples/zippedMalware/cfc454f3-dd4f-11e6-b4a1-80e65024849a.file,0
365,sample99,0,0,0,0,0,0,5,6,3,4,0,1048576,samples/zippedMalware/1f35c6c2500acea7254c37b3a5b30151,0
